Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2021-12-14,20/12/2021,28/01/2022,WEE****08,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,280.0,8100.0,2021-12-14,738138,0
Recorded,2009-10-26,12/11/2009,11/12/2009,WEE****68,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,79.0,1900.0,2009-10-26,733706,0
Recorded,2010-07-26,26/07/2010,09/09/2010,WEE****26,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,30.0,1795.0,2010-07-26,733979,0
Recorded,2021-12-22,04/01/2022,24/01/2022,WEE****59,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,4.4,7605.0,2021-12-22,738146,0
Recorded,2019-04-12,05/12/2019,09/12/2019,WEE****66,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,24.3,0.0,2019-04-12,737161,1
Recorded,2023-04-05,23/05/2023,07/06/2023,WEE****51,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,25.9,1850.0,2023-04-05,738615,1
Recorded,2021-07-06,08/06/2021,25/06/2021,WEE****95,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,6.0,6000.0,2021-07-06,737977,0
Recorded,2019-11-13,26/11/2019,13/12/2019,WEE****56,Murray,High,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,Lower Murray Water,7 VIC Murray - Barmah to SA,25.0,5500.0,2019-11-13,737376,0
Recorded,2016-05-23,03/06/2016,29/06/2016,WEE****65,Murray,High,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,2.0,2500.0,2016-05-23,736107,0
Recorded,2020-11-05,20/05/2020,04/06/2020,WEE****55,Murray,Low,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,Goulburn-Murray Water,7 VIC Murray - Barmah to SA,200.0,690.0,2020-11-05,737734,1
