Status,Application Creation Date,Approved / Refused Date,Recorded / Rejected Date,Water Share ID,Water System Source,Reliability,Trading Zone Source,Seller Water Authority,Seller Trading Zone Use,Buyer Water Authority,Buyer Trading Zone Use,Volume Traded (ML),Price Per ML ($),Create_date,Create_date_ordinal,Cluster
Recorded,2020-05-29,14/06/2020,31/07/2020,WEE****83,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,1.0,0.0,2020-05-29,737574,1
Refused,2018-06-13,24/06/2018,24/06/2018,WEE****72,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,10.0,270.0,2018-06-13,736858,1
Recorded,2022-11-02,25/02/2022,11/03/2022,WEE****34,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.6,4050.0,2022-11-02,738461,0
Recorded,2016-02-26,02/03/2016,22/03/2016,WEE****89,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,4.1,2800.0,2016-02-26,736020,0
Recorded,2023-03-04,18/04/2023,31/05/2023,WEE****15,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,124.0,4100.0,2023-03-04,738583,0
Recorded,2017-05-17,22/05/2017,07/06/2017,WEE****63,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,16.1,1500.0,2017-05-17,736466,0
Recorded,2022-08-30,09/09/2022,21/09/2022,WEE****75,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,4.0,5000.0,2022-08-30,738397,-1
Recorded,2009-12-15,24/12/2009,19/01/2010,WEE****62,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,15.0,1700.0,2009-12-15,733756,0
Recorded,2011-02-06,02/06/2011,19/07/2011,WEE****09,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,262.6,0.0,2011-02-06,734174,1
Recorded,2017-09-28,24/10/2017,15/12/2017,WEE****48,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,69.3,0.0,2017-09-28,736600,1
Recorded,2014-04-14,01/05/2014,21/05/2014,WEE****65,Goulburn,Low,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,26.4,200.0,2014-04-14,735337,1
Recorded,2011-05-18,31/05/2011,28/06/2011,WEE****20,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,68.6,0.0,2011-05-18,734275,1
Recorded,2019-03-21,22/03/2019,16/05/2019,WEE****89,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,2.0,4000.0,2019-03-21,737139,0
Recorded,2011-08-19,22/09/2011,04/11/2011,WEE****88,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,50.0,1900.0,2011-08-19,734368,0
Refused,2011-03-08,04/08/2011,04/08/2011,WEE****92,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,60.0,1880.0,2011-03-08,734204,0
Recorded,2015-10-07,15/07/2015,11/08/2015,WEE****10,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,6.8,2100.0,2015-10-07,735878,0
Recorded,2016-07-01,07/01/2016,10/02/2016,WEE****68,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,22.0,2800.0,2016-07-01,736146,0
Recorded,2020-09-17,11/10/2020,19/10/2020,WEE****91,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,50.0,4150.0,2020-09-17,737685,0
Recorded,2009-09-11,24/11/2009,04/12/2009,WEE****66,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,1.0,0.0,2009-09-11,733661,1
Recorded,2023-09-21,02/10/2023,26/10/2023,WEE****26,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,164.4,4100.0,2023-09-21,738784,0
Recorded,2012-05-22,18/06/2012,24/07/2012,WEE****94,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,86.0,1800.0,2012-05-22,734645,0
Recorded,2016-03-23,03/05/2016,15/06/2016,WEE****43,Goulburn,High,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,Goulburn-Murray Water,1A Greater Goulburn,3.0,2400.0,2016-03-23,736046,0
